game_pk,home_team,away_team,home_flg,away_flg
745444,San Diego Padres,Los Angeles Dodgers,0,0
746175,Los Angeles Dodgers,San Diego Padres,1,1
747060,Baltimore Orioles,Los Angeles Angels,1,1
746737,Cincinnati Reds,Washington Nationals,0,0
745445,San Diego Padres,San Francisco Giants,0,0
746165,Los Angeles Dodgers,St. Louis Cardinals,1,0
745116,Tampa Bay Rays,Toronto Blue Jays,1,0
746335,Kansas City Royals,Minnesota Twins,1,1
746821,Chicago White Sox,Detroit Tigers,0,0
746089,Miami Marlins,Pittsburgh Pirates,0,0
746418,Houston Astros,New York Yankees,1,0
745039,Texas Rangers,Chicago Cubs,0,0
745687,Oakland Athletics,Cleveland Guardians,0,0
747224,Arizona Diamondbacks,Colorado Rockies,1,0
745283,Seattle Mariners,Boston Red Sox,0,0
745848,New York Mets,Milwaukee Brewers,0,0
745604,Philadelphia Phillies,Atlanta Braves,0,0
745117,Tampa Bay Rays,Toronto Blue Jays,0,0
746091,Miami Marlins,Pittsburgh Pirates,0,0
746412,Houston Astros,New York Yankees,1,0
747223,Arizona Diamondbacks,Colorado Rockies,1,0
745682,Oakland Athletics,Cleveland Guardians,0,1
745276,Seattle Mariners,Boston Red Sox,0,0
745435,San Diego Padres,San Francisco Giants,0,1
746167,Los Angeles Dodgers,St. Louis Cardinals,1,0
745850,New York Mets,Milwaukee Brewers,0,1
746818,Chicago White Sox,Detroit Tigers,1,1
747063,Baltimore Orioles,Los Angeles Angels,1,0
745599,Philadelphia Phillies,Atlanta Braves,1,1
745684,Oakland Athletics,Cleveland Guardians,0,0
746736,Cincinnati Reds,Washington Nationals,0,0
745119,Tampa Bay Rays,Toronto Blue Jays,0,0
746333,Kansas City Royals,Minnesota Twins,0,0
746087,Miami Marlins,Pittsburgh Pirates,0,0
745037,Texas Rangers,Chicago Cubs,0,0
745436,San Diego Padres,San Francisco Giants,0,0
746410,Houston Astros,New York Yankees,0,0
747221,Arizona Diamondbacks,Colorado Rockies,1,0
746168,Los Angeles Dodgers,St. Louis Cardinals,0,0
745278,Seattle Mariners,Boston Red Sox,1,0
747062,Baltimore Orioles,Los Angeles Angels,0,1
745602,Philadelphia Phillies,Atlanta Braves,1,1
746739,Cincinnati Reds,Washington Nationals,0,0
745115,Tampa Bay Rays,Toronto Blue Jays,1,1
746090,Miami Marlins,Pittsburgh Pirates,1,0
745845,New York Mets,Milwaukee Brewers,0,1
746332,Kansas City Royals,Minnesota Twins,1,0
746815,Chicago White Sox,Detroit Tigers,0,0
746413,Houston Astros,New York Yankees,0,0
745035,Texas Rangers,Chicago Cubs,0,1
745683,Oakland Athletics,Cleveland Guardians,1,0
747222,Arizona Diamondbacks,Colorado Rockies,1,0
745279,Seattle Mariners,Boston Red Sox,0,0
745438,San Diego Padres,San Francisco Giants,1,0
